ID,pregunta,respuesta,intencion,entidades,referencias
1,Qué es el cáncer de pulmón,El cáncer de pulmón es un tipo de cáncer que comienza como una proliferación de células en los pulmones.El cáncer de pulmón es la principal causa de muerte por cáncer en todo el mundo.,informacion del cáncer del pulmón,cáncer,https://www.mayoclinic.org/diseases-conditions/lung-cancer/symptoms-causes/syc-20374620|https://www.cancer.org/cancer/lung-cancer/about/what-is.html
2,Qué son los pulmones,Los pulmones son dos órganos esponjosos que se encuentran en el pecho y controlan la respiración.,informacion del cáncer del pulmón,pulmón,https://www.hopkinsmedicine.org/health/conditions-and-diseases/how-the-lungs-work|https://www.nhlbi.nih.gov/health/lungs
3,Como funcionan los pulmones,"Al inhalar, el aire ingresa a los pulmones y el oxígeno de ese aire pasa a la sangre. Al mismo tiempo, el dióxido de carbono, un gas de deseo, sale de la sangre a los pulmones y es exhalado. Ese proceso, llamado intercambio de gases, es fundamental para la vida.",informacion del cáncer del pulmón,funcionan,https://kidshealth.org/en/parents/lungs.html|https://www.hopkinsmedicine.org/health/conditions-and-diseases/how-the-lungs-work
4,Consejos para mantener saludables a los pulmones,"Los hábitos para un estilo de vida saludable, como hacer actividad física y no fumar, pueden ayudar a prevenir lesiones y enfermedades pulmonares.",informacion del cáncer del pulmón,consejos|pulomnes,https://www.lung.org/clean-air/at-home/protect-your-lungs|https://www.cdc.gov/tobacco/campaign/tips/quit-smoking/index.html
5,Qué clases de cáncer de pulmón existen,El cáncer de pulmón se divide en dos tipos principales en función de la apariencia que tienen las células al observarlas bajo el microscopio. El profesional de atención médica tomará decisiones respecto al tratamiento según cuál sea el tipo de cáncer de pulmón que tengas. estos son el cáncer de pulmón microcítico y el no microcítico.,informacion del cáncer del pulmón,clases|cáncer,https://www.mayoclinic.org/diseases-conditions/lung-cancer/in-depth/lung-cancer/art-20042358 |https://www.cancer.gov/types/lung|https://www.cancer.gov/types/lung | World Health Organization (WHO). (2023). Cancer: Lung cancer fact sheet. Disponible en: https://www.who.int/news-room/fact-sheets/detail/cancer
6,Qué es el cáncer de pulmón no microcítico,"Alrededor del 80% al 85% de los cánceres de pulmón son no microcítico o NSCLC por sus siglas en ingles. Los subtipos principales de cáncer de pulmón no microcíticos son adenocarcinoma, carcinoma de células escamosas y carcinoma de células grandes. Estos subtipos, que pueden originarse de diferentes tipos de células de pulmón, se agrupan como “cáncer de pulmón no microcítico” porque el método de tratamiento y el pronóstico son a menudo similares.",informacion del cáncer del pulmón,no|microcítico,https://www.cancer.org/cancer/lung-cancer/about/what-is.html|https://www.cancer.gov/types/lung
7,Qué es la Adenocarcinoma,"Cáncer que se forma en el tejido glandular que reviste ciertos órganos internos como los pulmones. Este tipo de tejido elabora y secreta sustancias en el cuerpo, como moco, jugos digestivos y otros líquidos. La mayoría de los tipos de cáncer de mama, pulmón, esófago, estómago, colon, recto, páncreas, próstata y útero son adenocarcinomas. También se llama adenoma maligno, carcinoma adenoide, carcinoma adenomatoso y carcinoma glandular.",informacion del cáncer del pulmón,adenocarcinoma,https://www.cancer.gov/publications/dictionaries/cancer-terms/def/adenocarcinoma|Mayo Clinic.https://www.mayoclinic.org/diseases-conditions/cancer/in-depth/adenocarcinoma/art-20044534
8,Qué es la carcinoma de células escamosas,"Los carcinomas de células escamosas se originan de las células escamosas, las cuales son células planas que cubren el interior de las vías respiratorias en los pulmones. A menudo están relacionados con antecedentes de tabaquismo y tienden a estar localizados en la parte central de los pulmones, cerca de una vía respiratoria principal (bronquio).",informacion del cáncer del pulmón,carcinoma|escamoas,https://www.cancer.org/cancer/lung-cancer/about/types-of-non-small-cell.html|https://my.clevelandclinic.org/health/diseases/17853-squamous-cell-carcinoma
9,Qué es el carcinoma de células grandes,"El carcinoma de células grandes o canciroma indiferenciado puede aparecer en cualquier parte del pulmón, y tiende a crecer y a propagarse rápidamente, lo que puede hacer más difícil tratarlo. Un subtipo de carcinoma de células grandes, conocido como carcinoma neuroendocrino de células grandes es un cáncer de rápido crecimiento que es muy similar al cáncer de pulmón microcítico.",informacion del cáncer del pulmón,carcinoma|células|grandes,https://www.cancer.org/cancer/lung-cancer/about/types-of-non-small-cell.html | https://www.cancer.gov/types/lung/hp/non-small-cell-lung-treatment-pdq
10,Qué es el carcinoma indiferenciado,"El carcinoma indiferenciado o carcinoma de células grandes puede aparecer en cualquier parte del pulmón, y tiende a crecer y a propagarse rápidamente, lo que puede hacer más difícil tratarlo. Un subtipo de carcinoma de células grandes, conocido como carcinoma neuroendocrino de células grandes es un cáncer de rápido crecimiento que es muy similar al cáncer de pulmón microcítico.",informacion del cáncer del pulmón,carcinoma|indiferenciado,https://www.cancer.org/cancer/lung-cancer/about/types-of-non-small-cell.html|https://www.cancer.gov/types/lung
